Datetime,valueBVP
53:08.5,84.62213
53:08.5,82.99329
53:08.5,80.80249
53:08.5,77.52435
53:08.5,72.84167
53:08.5,66.90332
53:08.6,60.27777
53:08.6,53.75958
53:08.6,48.04041
53:08.6,43.32605
53:08.6,39.26074
53:08.6,34.98584
53:08.7,29.5282
53:08.7,22.21704
53:08.7,13.00146
53:08.7,2.467407
53:08.7,-8.37146
53:08.7,-18.44299
53:08.8,-26.99841
53:08.8,-33.7854
53:08.8,-39.01953
53:08.8,-43.15576
53:08.8,-46.66675
53:08.8,-49.8877
53:08.8,-52.93689
53:08.9,-55.8512
53:08.9,-58.66394
53:08.9,-61.42566
53:08.9,-64.15613
53:08.9,-66.71655
53:08.9,-68.80945
53:09.0,-70.04871
53:09.0,-70.11816
53:09.0,-68.93689
53:09.0,-66.74585
53:09.0,-63.97925
53:09.0,-61.12915
53:09.0,-58.4845
53:09.1,-56.10315
53:09.1,-53.8208
53:09.1,-51.39636
53:09.1,-48.72815
53:09.1,-45.92542
53:09.1,-43.35913
53:09.2,-41.47778
53:09.2,-40.5752
53:09.2,-40.51611
53:09.2,-40.7229
53:09.2,-40.27734
53:09.2,-38.40674
53:09.3,-34.93408
53:09.3,-30.53394
53:09.3,-26.53857
53:09.3,-24.33984
53:09.3,-24.80322
53:09.3,-27.83789
53:09.3,-32.5564
53:09.4,-37.67285
53:09.4,-42.05078
53:09.4,-45.00684
53:09.4,-46.43311
53:09.4,-46.68213
53:09.4,-46.57959
53:09.5,-47.38354
53:09.5,-50.56348
53:09.5,-57.42749
53:09.5,-68.42236
53:09.5,-82.77319
53:09.5,-98.56787
53:09.5,-113.3887
53:09.6,-125.2412
53:09.6,-133.1738
53:09.6,-137.4382
53:09.6,-139.1934
53:09.6,-140.0168
53:09.6,-141.4749
53:09.7,-144.9004
53:09.7,-151.1453
53:09.7,-160.4932
53:09.7,-172.6089
53:09.7,-186.7068
53:09.7,-201.8362
53:09.8,-217.2026
53:09.8,-232.2935
53:09.8,-246.6221
53:09.8,-259.446
53:09.8,-269.6379
53:09.8,-276.0571
53:09.8,-278.1897
53:09.9,-276.7324
53:09.9,-273.4609
53:09.9,-270.5513
53:09.9,-269.6042
53:09.9,-270.8071
53:09.9,-272.8103
53:10.0,-273.2095
53:10.0,-269.3003
53:10.0,-258.8567
53:10.0,-240.6167
53:10.0,-214.4329
53:10.0,-181.2773
53:10.1,-143.0457
53:10.1,-102.3115
53:10.1,-61.88477
53:10.1,-24.2522
53:10.1,8.931885
53:10.1,37.15625
53:10.1,60.89307
53:10.2,81.09253
53:10.2,98.53101
53:10.2,113.2759
53:10.2,124.6094
53:10.2,131.3445
53:10.2,132.5061
53:10.3,127.9607
53:10.3,118.7603
53:10.3,107.021
53:10.3,95.53516
53:10.3,87.00903
53:10.3,83.33179
53:10.3,84.96509
53:10.4,90.68774
53:10.4,97.84155
53:10.4,103.1555
53:10.4,103.6821
53:10.4,97.65723
53:10.4,84.78735
53:10.5,65.91064
53:10.5,42.34253
