,Timestamp,Engagement,Emotion,Valence,Arousal,Dominance
0,1714394759.1254323,0.43316517621147677,Low Fear,2,2,1
1,1714394769.7661097,0.11484130287624295,Low Fear,2,2,1
2,1714394780.1640687,0.011525565618893063,Low Fear,2,1,1
3,1714394790.864257,0.47885792711997177,Low Fear,2,2,1
4,1714394801.5678353,0.06387656312062795,Low Fear,2,1,1
5,1714394812.0624325,0.14997434792348074,Low Fear,2,2,1
6,1714394822.7679677,-0.026514959154734452,Low Fear,2,1,1
7,1714394833.3414922,-0.006580335799147741,Low Fear,2,1,1
8,1714394843.794677,0.02087162321398628,Low Fear,2,1,1
9,1714394854.483028,0.021230287241255752,Low Fear,2,1,1
10,1714394864.893942,-0.03553349861655919,Low Fear,2,1,1
11,1714394875.6458418,0.12358001630083715,Medium Fear,1,1,1
12,1714394886.6028304,0.39652810283926776,Medium Fear,1,1,1
13,1714394897.3994179,0.3581202398935863,Low Fear,2,1,1
14,1714394907.8447783,1.1747157944229087,Low Fear,2,1,1
15,1714394918.5277684,-0.16717027072823387,Medium Fear,1,1,1
16,1714394928.983428,1.3849408868032698,Low Fear,2,1,1
