Datetime,valueBVP
2024-04-30 13:07:11.716020,-62.74856
2024-04-30 13:07:11.731650,-63.68805
2024-04-30 13:07:11.747270,-61.36293
2024-04-30 13:07:11.762900,-55.56581
2024-04-30 13:07:11.778520,-46.77055
2024-04-30 13:07:11.794150,-35.95779
2024-04-30 13:07:11.809780,-24.31789
2024-04-30 13:07:11.825400,-12.83561
2024-04-30 13:07:11.841030,-2.086704
2024-04-30 13:07:11.856650,7.769669
2024-04-30 13:07:11.872280,16.81595
2024-04-30 13:07:11.887900,25.1827
2024-04-30 13:07:11.903530,32.92239
2024-04-30 13:07:11.919160,39.97528
2024-04-30 13:07:11.934780,46.18987
2024-04-30 13:07:11.950410,51.36505
2024-04-30 13:07:11.966030,55.27524
2024-04-30 13:07:11.981660,57.70005
2024-04-30 13:07:11.997280,58.48672
2024-04-30 13:07:12.012910,57.68559
2024-04-30 13:07:12.028540,55.57537
2024-04-30 13:07:12.044160,52.64655
2024-04-30 13:07:12.059790,49.45804
2024-04-30 13:07:12.075410,46.45954
2024-04-30 13:07:12.091040,43.85452
2024-04-30 13:07:12.106660,41.63345
2024-04-30 13:07:12.122290,39.65211
2024-04-30 13:07:12.137920,37.76087
2024-04-30 13:07:12.153540,35.87261
2024-04-30 13:07:12.169170,33.95034
2024-04-30 13:07:12.184790,31.91257
2024-04-30 13:07:12.200420,29.63604
2024-04-30 13:07:12.216040,26.94752
2024-04-30 13:07:12.231670,23.73945
2024-04-30 13:07:12.247300,20.09917
2024-04-30 13:07:12.262920,16.22997
2024-04-30 13:07:12.278550,12.41222
2024-04-30 13:07:12.294170,8.841545
2024-04-30 13:07:12.309800,5.534569
2024-04-30 13:07:12.325420,2.346123
2024-04-30 13:07:12.341050,-0.9247208
2024-04-30 13:07:12.356680,-4.41996
2024-04-30 13:07:12.372300,-8.138428
2024-04-30 13:07:12.387930,-11.95486
2024-04-30 13:07:12.403550,-15.71321
2024-04-30 13:07:12.419180,-19.27423
2024-04-30 13:07:12.434800,-22.59285
2024-04-30 13:07:12.450430,-25.68842
2024-04-30 13:07:12.466060,-28.5884
2024-04-30 13:07:12.481680,-31.31316
2024-04-30 13:07:12.497310,-33.91729
2024-04-30 13:07:12.512930,-36.50881
2024-04-30 13:07:12.528560,-39.31242
2024-04-30 13:07:12.544180,-42.60964
2024-04-30 13:07:12.559810,-46.60857
2024-04-30 13:07:12.575440,-51.28848
2024-04-30 13:07:12.591060,-56.25114
2024-04-30 13:07:12.606690,-60.70972
2024-04-30 13:07:12.622310,-63.63484
2024-04-30 13:07:12.637940,-64.01527
2024-04-30 13:07:12.653570,-61.20338
2024-04-30 13:07:12.669190,-55.07391
2024-04-30 13:07:12.684820,-46.06261
2024-04-30 13:07:12.700440,-35.00479
2024-04-30 13:07:12.716070,-22.90396
2024-04-30 13:07:12.731690,-10.68196
2024-04-30 13:07:12.747320,0.9702377
2024-04-30 13:07:12.762950,11.62329
2024-04-30 13:07:12.778570,21.09749
2024-04-30 13:07:12.794200,29.40415
2024-04-30 13:07:12.809820,36.65838
2024-04-30 13:07:12.825450,43.00112
2024-04-30 13:07:12.841070,48.50569
2024-04-30 13:07:12.856700,53.09673
2024-04-30 13:07:12.887950,58.7112
2024-04-30 13:07:12.903580,59.36741
2024-04-30 13:07:12.919200,58.59212
2024-04-30 13:07:12.934830,56.65136
2024-04-30 13:07:12.950450,53.91285
2024-04-30 13:07:12.966080,50.73822
2024-04-30 13:07:12.981710,47.43891
2024-04-30 13:07:12.997330,44.21026
2024-04-30 13:07:13.012960,41.18179
2024-04-30 13:07:13.028580,38.41852
2024-04-30 13:07:13.044210,35.90825
2024-04-30 13:07:13.059830,33.58814
2024-04-30 13:07:13.075460,31.34156
2024-04-30 13:07:13.091090,29.05113
2024-04-30 13:07:13.106710,26.61257
2024-04-30 13:07:13.122340,23.94579
2024-04-30 13:07:13.137960,21.00343
2024-04-30 13:07:13.153590,17.72767
2024-04-30 13:07:13.169210,14.09509
2024-04-30 13:07:13.184840,10.16444
2024-04-30 13:07:13.200470,6.13166
2024-04-30 13:07:13.216090,2.232368
2024-04-30 13:07:13.231720,-1.318893
2024-04-30 13:07:13.247340,-4.448792
2024-04-30 13:07:13.262970,-7.250214
2024-04-30 13:07:13.278590,-9.958588
2024-04-30 13:07:13.294220,-12.76987
2024-04-30 13:07:13.309850,-15.7925
2024-04-30 13:07:13.325470,-19.00658
2024-04-30 13:07:13.341100,-22.29356
2024-04-30 13:07:13.356720,-25.55245
2024-04-30 13:07:13.372350,-28.71583
2024-04-30 13:07:13.387970,-31.72787
2024-04-30 13:07:13.403600,-34.54919
2024-04-30 13:07:13.419230,-37.1957
2024-04-30 13:07:13.434850,-39.72208
2024-04-30 13:07:13.450480,-42.28243
2024-04-30 13:07:13.466100,-45.07732
2024-04-30 13:07:13.481730,-48.2031
2024-04-30 13:07:13.497350,-51.47014
2024-04-30 13:07:13.512980,-54.33942
2024-04-30 13:07:13.528610,-55.95596
2024-04-30 13:07:13.544230,-55.44886
2024-04-30 13:07:13.559860,-52.22798
2024-04-30 13:07:13.575480,-46.19983
2024-04-30 13:07:13.591110,-37.81895
2024-04-30 13:07:13.606730,-27.89938
2024-04-30 13:07:13.622360,-17.34112
2024-04-30 13:07:13.637990,-6.857315
2024-04-30 13:07:13.653610,3.106781
2024-04-30 13:07:13.669240,12.37421
2024-04-30 13:07:13.684860,20.85622
2024-04-30 13:07:13.700490,28.46785
2024-04-30 13:07:13.716110,35.07231
2024-04-30 13:07:13.731740,40.49598
2024-04-30 13:07:13.747370,44.63065
2024-04-30 13:07:13.762990,47.48201
2024-04-30 13:07:13.778620,49.11501
2024-04-30 13:07:13.794240,49.62549
2024-04-30 13:07:13.809870,49.11893
2024-04-30 13:07:13.825490,47.72693
2024-04-30 13:07:13.841120,45.62838
2024-04-30 13:07:13.856750,43.06
2024-04-30 13:07:13.872370,40.29012
2024-04-30 13:07:13.888000,37.55383
2024-04-30 13:07:13.903620,35.05016
2024-04-30 13:07:13.919250,32.81789
2024-04-30 13:07:13.934870,30.82396
2024-04-30 13:07:13.950500,28.99004
2024-04-30 13:07:13.966130,27.21508
2024-04-30 13:07:13.981750,25.37003
2024-04-30 13:07:13.997380,23.31665
2024-04-30 13:07:14.013000,20.8837
2024-04-30 13:07:14.028630,17.93335
2024-04-30 13:07:14.044250,14.45026
2024-04-30 13:07:14.059880,10.55503
2024-04-30 13:07:14.075510,6.558651
2024-04-30 13:07:14.091130,2.827393
2024-04-30 13:07:14.106760,-0.3623199
2024-04-30 13:07:14.122380,-2.939049
2024-04-30 13:07:14.138010,-5.053322
2024-04-30 13:07:14.153630,-7.008747
2024-04-30 13:07:14.169260,-9.117447
2024-04-30 13:07:14.184890,-11.5496
2024-04-30 13:07:14.200510,-14.29086
2024-04-30 13:07:14.216140,-17.14724
2024-04-30 13:07:14.231760,-19.84564
2024-04-30 13:07:14.247390,-22.18002
2024-04-30 13:07:14.263010,-24.04575
2024-04-30 13:07:14.278640,-25.53809
2024-04-30 13:07:14.294270,-26.93792
2024-04-30 13:07:14.309890,-28.65954
2024-04-30 13:07:14.325520,-31.07416
2024-04-30 13:07:14.341140,-34.34721
2024-04-30 13:07:14.356770,-38.26308
2024-04-30 13:07:14.372390,-42.15342
2024-04-30 13:07:14.388020,-45.07731
2024-04-30 13:07:14.403650,-46.04458
2024-04-30 13:07:14.419270,-44.35093
