Subject,Time,Valence,Arousal,Dominance,emo_similarity,emo_spheric,fear_metric,fear_spheric,emo_cubic,fear_cubic
1,0.0,4.3713999999999995,5.3065999999999995,4.860199999999999,0.9351040607029855,Hate,0.8360157419959906,High Fear,Admiration,Medium Fear
1,5.0,4.8573999999999975,5.094899999999999,6.6861,0.5279977598962665,Admiration,0.3357223816822412,Low Fear,Admiration,Low Fear
1,10.0,4.589699999999999,4.418,6.7807,0.6829339637730538,Sadness,0.30000754378680466,Low Fear,Admiration,Low Fear
1,15.0,4.434299999999997,5.162699999999998,5.813100000000002,0.6419422857464403,Sadness,0.4844869716693478,Low Fear,Admiration,Medium Fear
1,20.0,4.5139,4.219899999999998,6.602900000000001,0.7422795752035427,Sadness,0.29805746668679184,Low Fear,Admiration,Low Fear
1,25.0,4.532200000000002,5.3413,5.287299999999999,0.7639908701699433,Admiration,0.6543208289046372,Medium Fear,Admiration,Medium Fear
1,30.0,5.219200000000001,4.5703,5.148299999999999,0.7171751084523025,Desire,0.13451924184400543,No Fear,Admiration,Medium Fear
1,35.0,5.0081,5.405499999999998,5.453799999999998,0.8331252951906771,Admiration,0.4829618374387921,Low Fear,Admiration,Medium Fear
1,40.0,4.793200000000001,4.3699,4.8548,0.9358498114236136,Sadness,0.4239965485506831,Low Fear,Admiration,Medium Fear
1,45.0,4.787299999999999,4.7681,5.151500000000002,0.9500864158282648,Sadness,0.40893855729334067,Low Fear,Admiration,Medium Fear
1,50.0,4.5047999999999995,4.617199999999999,6.011800000000003,0.7609124926983648,Sadness,0.35623447455355495,Low Fear,Admiration,Low Fear
1,55.0,4.5202,5.281700000000001,5.104500000000001,0.8350210735076327,Hate,0.7337239878463804,Medium Fear,Admiration,Medium Fear
1,60.0,4.526899999999999,4.409399999999999,4.933599999999999,0.9950748404532364,Sadness,0.48763436759735673,Low Fear,Admiration,Medium Fear
1,65.0,4.0767,4.7975,4.8130000000000015,0.9130808735509557,Sadness,0.6830668526054663,Medium Fear,Admiration,Medium Fear
1,70.0,4.572399999999999,4.5798999999999985,4.7378,0.9580759118860531,Sadness,0.5764888859127967,Medium Fear,Admiration,Medium Fear
1,75.0,4.727499999999999,4.2707,4.9491000000000005,0.9539680290264418,Sadness,0.4028919003123938,Low Fear,Admiration,Medium Fear
1,80.0,4.357199999999999,4.4498,5.063399999999999,0.9971070017134784,Sadness,0.5063249247155943,Medium Fear,Admiration,Medium Fear
1,85.0,4.7926,4.192799999999999,5.3324,0.8997894480923362,Sadness,0.29523390853857445,Low Fear,Admiration,Medium Fear
1,90.0,4.6257,4.4512,4.909000000000001,0.9867528588559846,Sadness,0.477093663726661,Low Fear,Admiration,Medium Fear
1,95.0,4.751,4.866000000000002,5.625400000000001,0.6972901720841596,Sadness,0.3587460855496313,Low Fear,Admiration,Medium Fear
1,100.0,4.271400000000001,4.575799999999999,4.9857000000000005,0.9833611076974014,Sadness,0.5700233339647895,Medium Fear,Admiration,Medium Fear
1,105.0,4.4162,5.735899999999999,5.823900000000001,0.7944841844859819,Admiration,0.5735772426847952,Medium Fear,Admiration,Medium Fear
