,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,175.0,0.5369088649749756,1.0,False
1,sdnn,189.0,0.7621389999985695,1.0,False
2,rmssd,135.0,0.12562106549739838,1.0,False
3,pnn50,121.0,0.06281394511461258,0.9422091767191887,False
4,hr_mad,144.0,0.8622983823040553,1.0,False
5,lf,177.0,0.5670346617698669,1.0,False
6,hf,154.0,0.27407141774892807,1.0,False
7,lf/hf,162.0,0.3620011880993843,1.0,False
8,p_total,185.0,0.6947018131613731,1.0,False
9,lf_nu,152.0,0.25451332330703735,1.0,False
10,hf_nu,152.0,0.25451332330703735,1.0,False
11,mean_eda,174.0,0.5221440717577934,1.0,False
12,mean_tonic,174.0,0.5221440717577934,1.0,False
13,scr_peak_count,94.5,0.03962364895696923,0.6339783833115077,False
14,scr_sum_amp,61.0,0.0007162094116210938,0.012891769409179688,True
15,scr_mean_amp,87.0,0.007071197032928467,0.12021034955978394,False
16,scr_mean_risetime,159.0,0.47106336173321883,1.0,False
17,scr_mean_recoverytime,149.0,0.22697687149047852,1.0,False
