,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,6.0,2.086162567138672e-07,3.7550926208496094e-06,True
1,sdnn,182.0,0.8779177963733673,1.0,False
2,rmssd,90.0,0.016190022230148315,0.19428026676177979,False
3,pnn50,111.0,0.06189882755279541,0.5570894479751587,False
4,hr_mad,111.5,0.26902365437166686,1.0,False
5,lf,100.0,0.03189583122730255,0.3189583122730255,False
6,hf,183.0,0.8965883553028107,1.0,False
7,lf/hf,179.0,0.82233826816082,1.0,False
8,p_total,131.0,0.1698138564825058,1.0,False
9,lf_nu,165.0,0.5780609846115112,1.0,False
10,hf_nu,165.0,0.5780609846115112,1.0,False
11,mean_eda,86.0,0.012076601386070251,0.16907241940498352,False
12,mean_tonic,82.0,0.008888542652130127,0.1333281397819519,False
13,scr_peak_count,87.5,0.02538633380878626,0.27924967189664884,False
14,scr_sum_amp,33.0,4.7460198402404785e-05,0.0008068233728408813,True
15,scr_mean_amp,58.0,0.0010209232568740845,0.01633477210998535,True
16,scr_mean_risetime,87.0,0.013010844588279724,0.1691409796476364,False
17,scr_mean_recoverytime,127.0,0.1414058655500412,1.0,False
